Hash,Ply,GamePly,FEN,HasCastled,Eval,Result
52D3CD90FFDC0DE2,25,68,r2q1rk1/1b1nbppp/p2p1n2/1ppP4/4PB2/2N2N1P/PPB2PP1/R2Q1RK1 b - - 2 13,3,31,0.0
0E9BF7DD56358BE5,83,103,4r3/6k1/p5pp/1p6/2q5/5R1B/6P1/R6K b - - 1 42,3,-885,0.5
69109DD45720C808,53,97,r1r5/p1P2kpp/2bB1p2/4p3/1P3P2/4N1P1/4P2P/R4K2 b - f3 0 27,3,-26,0.5
A13D744501546515,59,210,r1bqr1k1/1p3pp1/pPp2n2/2Pp1Pp1/P5N1/3BPR1P/2Q3P1/2R3K1 b - - 1 30,3,113,1.0
15EB5B421A6BB821,24,84,r1b2rk1/pp2ppbp/6p1/q1P1n1P1/2B5/2N1PQ2/PP2NPP1/3RK2R w K - 5 13,2,112,1.0
D620F9D61F8974D8,47,77,2rb1r1k/pp4Rp/3RpP2/4p2Q/4P3/4B3/1PPK1P1P/q7 b - - 3 24,3,219,1.0
222B1052E958ACE5,87,151,r5k1/5pp1/1q2p2p/1PP5/1Q6/1K5P/2R5/8 b - - 0 44,3,147,0.5
9A325497F52061C8,96,157,6k1/2r2p2/1p5p/2Bpb1p1/8/R3PP1P/3RK1P1/1r6 w - - 2 49,3,-196,0.0
E8FD41DF1ADDE0DD,77,148,5r1k/4r1p1/p6p/2p4P/B1P3b1/N5P1/PP1R2K1/8 b - - 2 39,3,-536,0.0
2B452ABED4912387,47,96,2r5/p2bk3/1b2pp2/1p1pn2B/8/PN3N2/2P1RPPP/6K1 b - - 3 24,1,-383,0.0
B6081A1BB530BCE2,68,321,r3r3/3n2qk/1np1p1pb/5p2/p2P3p/P1N2R1P/1PB2PPB/3RQ1K1 w - - 6 35,3,62,0.5
F43F03FE6D70E2DB,101,151,1R6/5p2/1P5k/5p1p/8/6PP/6PK/1r6 b - - 8 51,3,255,0.5
4E34A52010B8C714,32,180,2r2rk1/ppB2ppp/4b3/3q4/3P4/8/PP3PPP/R2QR1K1 w - - 1 17,3,25,0.5
726BDFA219D455B0,59,221,3b1rk1/1p3ppp/8/1b3r2/1P3N2/6P1/3B1P1P/1R2R1K1 b - - 2 30,3,-78,0.5
583C82C162FF30FF,26,130,rq3rk1/2p1bppp/p1p1pn2/P7/2pP4/2N3P1/1PQ1PP1P/R1BR2K1 w - - 1 14,3,-40,0.0
39C7527B8430EEBF,106,146,8/4q1pk/b3P1Rp/3Q3P/1p6/1P6/2P5/7K w - - 1 54,3,611,1.0
1C7C1548AF016E32,65,113,2r1r3/2p2pbk/2Pp1np1/4q3/6P1/1PNR3P/P1Q3B1/5R1K b - - 0 33,3,55,1.0
BE34C3280B23502F,168,214,8/8/3p4/3B2k1/2N2bb1/7p/8/5K2 w - - 0 85,3,-508,0.0
429AB869CCB78BAE,146,249,8/6K1/8/4R3/1p2n3/4k3/8/8 w - - 0 74,0,39,0.5
80A9544A137EE965,13,108,r1bq1rk1/ppp2ppp/2np1n2/2b1p3/1PP5/P1N1P1P1/3P1PBP/R1BQK1NR b KQ b3 0 7,2,88,1.0
393A2F3BBE390701,144,162,1r5k/5pp1/7p/4n3/8/4N1P1/1r3P1K/5R2 w - - 3 73,3,-1201,0.0
70E35BCCB233DDCA,59,97,1r3k2/5ppb/3p3p/p1pB4/6P1/PP5P/2P1RP2/6K1 b - - 0 30,3,28,0.5
32306629847FC7DA,118,131,8/4k3/p2p2P1/P1p1b2N/K1P5/8/8/8 w - - 23 60,3,82,0.5
A6ACD3CA4B49C48E,97,128,8/pn1P2k1/1p2Q3/2p1p3/2P1Pq2/2P2B2/P5P1/5K2 b - - 4 49,3,386,1.0
2F512DC49B8C03BA,195,207,8/8/7P/1p1k4/7R/r3BK2/8/8 b - - 4 98,3,1105,1.0
E4A484A8BAD1CCA4,46,159,r1k5/pp5p/q1pb1np1/5p2/P2PrN2/1BP1P3/1P4P1/1K1QR2R w - - 1 24,1,72,1.0
1938BAED3837E37B,71,163,5rk1/2Q2pp1/4p3/B2p3p/1P6/P3PN2/6P1/4qbK1 b - - 1 36,3,-547,0.0
